Group	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
All_Outliers	chromatin DNA binding	chromatin DNA binding	33/5997	50/25972	0.66	2.85834917458729	7.20685915549705	1.24898877764157e-10	1.10592279038445e-08	8.80865769494583e-09	LOC110864993/LOC110929783/LOC110929926/LOC118490192/LOC110929991/LOC110929993/LOC110929990/LOC110936842/LOC110936767/LOC110937904/LOC110939759/LOC110940261/LOC110941377/LOC110871933/LOC110879789/LOC110879368/LOC110889535/LOC110889539/LOC110922488/LOC110897732/LOC110899045/LOC110899050/LOC110899138/LOC110908467/LOC110904255/LOC110905007/LOC110905013/LOC110905014/LOC118486786/LOC110906282/LOC110911866/LOC110911863/LOC110918397	33
All_Outliers	cysteine-type deubiquitinase activity	cysteine-type deubiquitinase activity	43/5997	78/25972	0.551282051282051	2.3875099943134	6.7243733162146	9.61470195466182e-10	7.80393308653384e-08	6.21582047419804e-08	LOC110876418/LOC110877675/LOC110925356/LOC110929653/LOC110930018/LOC110930142/LOC118490220/LOC110936796/LOC110940942/LOC110941734/LOC110864484/LOC110864558/LOC110868259/LOC110868485/LOC110873860/LOC110911903/LOC118481705/LOC110899918/LOC110878008/LOC110883862/LOC110885191/LOC110886590/LOC110889151/LOC110889760/LOC110891094/LOC118484768/LOC110893964/LOC110869104/LOC110898217/LOC110898439/LOC110898824/LOC110898899/LOC110899783/LOC110903688/LOC110904279/LOC110904338/LOC110904647/LOC110893946/LOC110912653/LOC110918498/LOC110922301/LOC110920795/LOC110926309	43
All_Outliers	plasmodesma	plasmodesma	149/5997	416/25972	0.358173076923077	1.55118745270071	6.20965561155626	2.33926443313603e-09	1.75264889067269e-07	1.395982094916e-07	LOC110878754/LOC110927037/LOC110927036/LOC110928668/LOC110929037/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110942887/LOC110942886/LOC110941756/LOC118479529/LOC110868941/LOC110872682/LOC110870457/LOC110870459/LOC110923513/LOC110877402/LOC110875886/LOC110875888/LOC110874416/LOC110875891/LOC110877635/LOC110878075/LOC110923596/LOC110926255/LOC110923353/LOC110922308/LOC110910010/LOC110882207/LOC110882208/LOC110882209/LOC110885451/LOC110886353/LOC110886343/LOC110886380/LOC110886847/LOC110886967/LOC110886970/LOC118484368/LOC110891181/LOC110888852/LOC118484169/LOC110891179/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC118484209/LOC110888983/LOC110891477/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484219/LOC118484342/LOC118484220/LOC118484225/LOC118484226/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889032/LOC118484245/LOC110893688/LOC110897690/LOC110899275/LOC110899329/LOC110899333/LOC110899321/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898703/LOC110899486/LOC110940205/LOC110906862/LOC118486504/LOC110908713/LOC110903735/LOC110904115/LOC110907519/LOC110907527/LOC110904925/LOC110910452/LOC110909803/LOC110912357/LOC110914646/LOC110915941/LOC110917207/LOC110908861/LOC110916755/LOC110921911/LOC110922612/LOC110912955/LOC110914617/LOC110926488/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110891461/LOC110888994/LOC118489679/LOC118489670/LOC118489680/LOC118489681/LOC110891462/LOC110894290/LOC110891459/LOC118489672/LOC118489682/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC118489688/LOC110891447/LOC110888987/LOC118489707/LOC110890537	149
All_Outliers	RNA helicase activity	RNA helicase activity	44/5997	83/25972	0.530120481927711	2.29586279083317	6.47900618855008	3.20571371345989e-09	2.23026082636424e-07	1.77639925324808e-07	LOC110869714/LOC110879022/LOC110922281/LOC110926154/LOC110927145/LOC110928435/LOC110928458/LOC110930521/LOC110935525/LOC110935757/LOC110937570/LOC110940479/LOC110889866/LOC110889865/LOC110889864/LOC110942176/LOC110942345/LOC110864383/LOC110864396/LOC110865211/LOC110878162/LOC110868044/LOC110878325/LOC110915205/LOC110915214/LOC110885214/LOC110883834/LOC110885973/LOC110886229/LOC110883614/LOC110889300/LOC110890209/LOC110890370/LOC110894081/LOC110893449/LOC110883298/LOC110898734/LOC110899322/LOC110908454/LOC110904068/LOC110910052/LOC110912288/LOC110917875/LOC110920462	44
All_Outliers	ABC-type transporter activity	ABC-type transporter activity	75/5997	174/25972	0.431034482758621	1.86673796668449	6.28546470957897	3.68899038406194e-09	2.39538442271755e-07	1.90791993898502e-07	LOC110899387/LOC110899389/LOC110899391/LOC110899390/LOC110941576/LOC110864025/LOC110871436/LOC110873812/LOC110880270/LOC110881735/LOC110908714/LOC110909497/LOC110885363/LOC110917217/LOC110928539/LOC110935527/LOC110935627/LOC110937000/LOC110936966/LOC110941385/LOC110865503/LOC110867956/LOC110921955/LOC110868685/LOC110868815/LOC110869534/LOC110872550/LOC110873281/LOC110873432/LOC110877673/LOC110878293/LOC118482086/LOC110879212/LOC110880092/LOC110880093/LOC110880086/LOC110880160/LOC110880159/LOC110880158/LOC110880157/LOC110880211/LOC110884252/LOC110884254/LOC110885555/LOC110884622/LOC110885676/LOC110885681/LOC110885679/LOC110885680/LOC110889980/LOC110888048/LOC110890022/LOC110890707/LOC110890968/LOC110891091/LOC110891291/LOC110898225/LOC110904019/LOC110904463/LOC110904976/LOC110904719/LOC110905142/LOC110905141/LOC110911328/LOC110911781/LOC110911782/LOC110912307/LOC110913030/LOC110918014/LOC110864657/LOC110864658/LOC118488026/LOC110924194/LOC110921786/LOC118489742	75
All_Outliers	endocytosis	endocytosis	30/5997	48/25972	0.625	2.70677005169251	6.48503900630841	6.0212262124099e-09	3.66542145680452e-07	2.9195024464119e-07	LOC110885804/LOC110876620/LOC110922767/LOC110879217/LOC110927222/LOC110928593/LOC110929851/LOC110930888/LOC110933495/LOC110936794/LOC110864973/LOC110903750/LOC110865594/LOC110916378/LOC110868469/LOC110877153/LOC110883990/LOC110890253/LOC110890863/LOC110890888/LOC110890911/LOC110899187/LOC110899980/LOC110899983/LOC110899952/LOC110907942/LOC110904104/LOC110910386/LOC110910375/LOC110926367	30
All_Outliers	polygalacturonate 4-alpha-galacturonosyltransferase activity	polygalacturonate 4-alpha-galacturonosyltransferase activity	23/5997	32/25972	0.71875	3.11278555944639	6.55259595971416	6.61437393159308e-09	3.78964718198333e-07	3.01844804184774e-07	LOC118491204/LOC110942064/LOC110868698/LOC110873641/LOC110925932/LOC110879655/LOC110884419/LOC110900248/LOC110900246/LOC110908427/LOC110902237/LOC110897644/LOC110894041/LOC110903908/LOC110909988/LOC110918169/LOC118488062/LOC110917313/LOC110923443/LOC110926439/LOC110926156/LOC110920603/LOC110922873	23
All_Outliers	ATP-dependent chromatin remodeler activity	ATP-dependent chromatin remodeler activity	31/5997	54/25972	0.574074074074074	2.4862184178509	5.99027475627711	5.85102919330377e-08	3.16605690793215e-06	2.52175936576893e-06	LOC110867103/LOC110881025/LOC110881881/LOC110881796/LOC110881846/LOC110933011/LOC110884355/LOC110884310/LOC110930023/LOC110930144/LOC110937632/LOC110872683/LOC110883991/LOC110884863/LOC118483991/LOC110890647/LOC110891114/LOC110891525/LOC110894636/LOC110893937/LOC110895866/LOC110900717/LOC110898721/LOC110899997/LOC110899996/LOC110908394/LOC110908913/LOC110904959/LOC110916103/LOC110921860/LOC110926158	31
All_Outliers	regulation of transcription by RNA polymerase II	regulation of transcription by RNA polymerase II	105/5997	284/25972	0.369718309859155	1.60118791790261	5.58177381831309	8.39554653802695e-08	4.30382227791487e-06	3.42798770001433e-06	LOC110864993/LOC110872969/LOC110877317/LOC110883618/LOC110877384/LOC110935807/LOC110925339/LOC110925912/LOC110927114/LOC110928576/LOC110928841/LOC110929211/LOC110929172/LOC110929937/LOC110929999/LOC110930023/LOC110930015/LOC110931060/LOC118491435/LOC110936184/LOC110936387/LOC110937904/LOC110939759/LOC110940261/LOC110941050/LOC110941154/LOC118492252/LOC110941454/LOC110864899/LOC110864970/LOC110864995/LOC110865212/LOC110937265/LOC118480428/LOC110871715/LOC110871767/LOC110872302/LOC110872807/LOC110873659/LOC110877772/LOC110878159/LOC110879789/LOC110879589/LOC110884148/LOC110884442/LOC110886117/LOC110886431/LOC110886909/LOC110889131/LOC110889941/LOC110890470/LOC110922488/LOC110890855/LOC110893755/LOC110894169/LOC110894199/LOC110894269/LOC110894751/LOC110897552/LOC110893937/LOC110895633/LOC110896128/LOC110897732/LOC110897973/LOC110897958/LOC110898181/LOC110898203/LOC110898637/LOC110899205/LOC110899133/LOC110899252/LOC110899552/LOC110900385/LOC110908394/LOC110908467/LOC110889253/LOC110908726/LOC110907369/LOC110904307/LOC110904598/LOC110910045/LOC110910240/LOC110911433/LOC110911648/LOC110911866/LOC110911863/LOC118487271/LOC110912671/LOC110915446/LOC110918924/LOC110918653/LOC110917899/LOC110882563/LOC110918736/LOC110920740/LOC110920671/LOC110923453/LOC110922099/LOC110912479/LOC110923112/LOC110921986/LOC110921016/LOC110926130/LOC110921095/LOC110926346	105
All_Outliers	phagophore assembly site	phagophore assembly site	14/5997	16/25972	0.875	3.78947807236952	6.11550079508284	8.95066227506206e-08	4.35897252795522e-06	3.47191478774776e-06	LOC110868388/LOC110925309/LOC110929389/LOC110941840/LOC110903750/LOC110868727/LOC110872369/LOC110884011/LOC110903676/LOC110903876/LOC110910413/LOC110910920/LOC110898106/LOC110926367	14
